epoch,avg_loss,episodes
1,-0.013592855355359222,24700
2,-0.05431639477101566,24700
3,-0.12677808720448813,24700
4,-0.23183964882875502,24700
5,-0.35430997697568617,24700
EVAL,-20.76,
